feature_name,importance,rank,feature_group
flank_left_-2_L,0.0016901999661597504,105,Flanking sequence context
mut_onehot_A,0.0016878537143714281,106,Mutation substitution deltas
flank_right_+1_Y,0.0016031138296913373,107,Flanking sequence context
flank_right_+5_V,0.0015854285410443814,108,Flanking sequence context
flank_right_+4_M,0.0015589497010333343,109,Flanking sequence context
wt_onehot_M,0.0015517582972525109,110,Mutation substitution deltas
flank_right_+3_M,0.0015033138571057592,111,Flanking sequence context
flank_right_+2_V,0.0014940099976643994,112,Flanking sequence context
flank_left_-1_M,0.0014845536374845,113,Flanking sequence context
flank_left_-5_M,0.001466793897510552,114,Flanking sequence context
flank_right_+5_L,0.0014666635356788969,115,Flanking sequence context
mut_onehot_V,0.001433969013425251,116,Mutation substitution deltas
flank_left_-5_H,0.00143138346842262,117,Flanking sequence context
flank_right_+3_Q,0.001430602264333554,118,Flanking sequence context
flank_right_+1_R,0.0014266558765446491,119,Flanking sequence context
flank_left_-1_R,0.0014024941448043053,120,Flanking sequence context
flank_right_+5_S,0.0013852613369638705,121,Flanking sequence context
flank_right_+5_A,0.0013843480232512589,122,Flanking sequence context
flank_left_-4_V,0.001382048430047676,123,Flanking sequence context
flank_left_-3_T,0.0013803380709208023,124,Flanking sequence context
flank_right_+1_N,0.001380174667963042,125,Flanking sequence context
flank_left_-1_G,0.0013698984334299755,126,Flanking sequence context
flank_left_-2_T,0.0013553193441579528,127,Flanking sequence context
flank_left_-1_I,0.001354969920491867,128,Flanking sequence context
flank_right_+3_K,0.0013530944460829633,129,Flanking sequence context
wt_onehot_L,0.0013489745773514628,130,Mutation substitution deltas
wt_onehot_V,0.0013488225388679769,131,Mutation substitution deltas
flank_right_+3_N,0.001322406171393054,132,Flanking sequence context
mut_onehot_H,0.0013212085162548973,133,Mutation substitution deltas
flank_left_-3_F,0.0012866144334930136,134,Flanking sequence context
flank_right_+1_W,0.001282345531236246,135,Flanking sequence context
flank_left_-4_E,0.0012646718340984951,136,Flanking sequence context
flank_left_-5_Q,0.0012640114249717537,137,Flanking sequence context
flank_right_+2_R,0.0012638631409776773,138,Flanking sequence context
flank_right_+4_P,0.0012526174450447024,139,Flanking sequence context
flank_right_+2_S,0.0012518229050415232,140,Flanking sequence context
flank_left_-2_E,0.0012502872834953974,141,Flanking sequence context
flank_right_+4_Y,0.0012290277153803725,142,Flanking sequence context
wt_onehot_A,0.0012199932863345352,143,Mutation substitution deltas
flank_left_-5_C,0.0011919616452105534,144,Flanking sequence context
flank_left_-1_Q,0.0011898473930988089,145,Flanking sequence context
flank_left_-4_R,0.0011818816612761559,146,Flanking sequence context
flank_left_-4_H,0.0011783848924198893,147,Flanking sequence context
flank_right_+4_E,0.0011614092805651388,148,Flanking sequence context
flank_right_+1_A,0.0011588419455533156,149,Flanking sequence context
flank_right_+1_D,0.0011469581838798666,150,Flanking sequence context
flank_left_-2_M,0.0011355480413328307,151,Flanking sequence context
flank_right_+4_I,0.001104791934550739,152,Flanking sequence context
flank_right_+1_P,0.0011025984347715226,153,Flanking sequence context
flank_right_+5_G,0.0010959904552945777,154,Flanking sequence context
mut_onehot_L,0.0010865640703185363,155,Mutation substitution deltas
wt_onehot_P,0.0010831032774539697,156,Mutation substitution deltas
flank_right_+3_G,0.0010783074161490253,157,Flanking sequence context
flank_right_+5_P,0.001061780078276134,158,Flanking sequence context
flank_right_+1_S,0.0010614995087655829,159,Flanking sequence context
flank_left_-5_E,0.001050270754978922,160,Flanking sequence context
flank_left_-2_Q,0.001046567296306225,161,Flanking sequence context
flank_left_-1_S,0.0010351183979608733,162,Flanking sequence context
mut_onehot_C,0.0010165121278680209,163,Mutation substitution deltas
flank_left_-1_Y,0.0010136296866374156,164,Flanking sequence context
flank_right_+2_G,0.0009742620850530944,165,Flanking sequence context
flank_left_-2_I,0.0009499330976917238,166,Flanking sequence context
flank_right_+3_D,0.0009272098272540253,167,Flanking sequence context
flank_left_-3_Y,0.0009251687184548759,168,Flanking sequence context
flank_right_+2_E,0.0009211007473280599,169,Flanking sequence context
flank_left_-5_N,0.0009143363489405757,170,Flanking sequence context
flank_right_+1_T,0.0009119638171095453,171,Flanking sequence context
flank_right_+5_Q,0.0009046665609297458,172,Flanking sequence context
flank_left_-4_I,0.0008944655774999582,173,Flanking sequence context
flank_left_-5_R,0.0008865964594357017,174,Flanking sequence context
flank_left_-3_D,0.000884366403399714,175,Flanking sequence context
flank_left_-1_C,0.000870232954726722,176,Flanking sequence context
flank_right_+5_I,0.0008542216980492299,177,Flanking sequence context
flank_right_+4_S,0.0008536300363236562,178,Flanking sequence context
flank_right_+3_Y,0.0008470640029827244,179,Flanking sequence context
flank_right_+3_P,0.0008430061257526024,180,Flanking sequence context
flank_left_-3_S,0.0008309026631981826,181,Flanking sequence context
mut_onehot_T,0.0008243289225815909,182,Mutation substitution deltas
flank_left_-2_D,0.0008214185162685121,183,Flanking sequence context
mut_onehot_N,0.0007654931414717399,184,Mutation substitution deltas
flank_left_-5_W,0.0007638825472870578,185,Flanking sequence context
flank_left_-3_W,0.0007142530865645672,186,Flanking sequence context
mut_onehot_D,0.0007126294695842856,187,Mutation substitution deltas
flank_right_+2_I,0.0007062985367766549,188,Flanking sequence context
wt_onehot_N,0.0006846808817783498,189,Mutation substitution deltas
wt_onehot_F,0.000670661165190986,190,Mutation substitution deltas
flank_right_+5_F,0.0006402959343106219,191,Flanking sequence context
flank_right_+3_S,0.0006396130424870241,192,Flanking sequence context
flank_left_-5_Y,0.0006299817298925543,193,Flanking sequence context
flank_left_-4_F,0.0006096139160035872,194,Flanking sequence context
flank_right_+1_G,0.0005933944052865531,195,Flanking sequence context
mut_onehot_S,0.0005857755258066131,196,Mutation substitution deltas
flank_left_-4_M,0.000583654851559278,197,Flanking sequence context
flank_left_-5_I,0.0005836340951170159,198,Flanking sequence context
flank_left_-1_W,0.0005836115862772565,199,Flanking sequence context
mut_onehot_Q,0.0005673490873379601,200,Mutation substitution deltas
mut_onehot_M,0.0005577654111848261,201,Mutation substitution deltas
mut_onehot_R,0.0005574417700267439,202,Mutation substitution deltas
wt_onehot_I,0.0005438665077104485,203,Mutation substitution deltas
flank_right_+2_P,0.000529157743719074,204,Flanking sequence context
flank_left_-5_F,0.0005162336603135426,205,Flanking sequence context
flank_left_-4_P,0.0005133203493036315,206,Flanking sequence context
flank_left_-2_F,0.0005033851924624455,207,Flanking sequence context
flank_right_+1_M,0.0004977686592985526,208,Flanking sequence context
flank_left_-4_C,0.0004932191637041309,209,Flanking sequence context
flank_left_-3_P,0.00047622581260601296,210,Flanking sequence context
flank_right_+4_H,0.00046578759173786965,211,Flanking sequence context
flank_left_-3_H,0.00046016615047862085,212,Flanking sequence context
mut_onehot_F,0.0004560826001325356,213,Mutation substitution deltas
flank_right_+2_H,0.00043648757177100326,214,Flanking sequence context
mut_onehot_I,0.0004318976475680388,215,Mutation substitution deltas
flank_left_-3_N,0.00042818992838158183,216,Flanking sequence context
flank_right_+3_R,0.0004108244931764278,217,Flanking sequence context
flank_left_-2_P,0.0003951243709985891,218,Flanking sequence context
flank_left_-3_Q,0.0003645410984432437,219,Flanking sequence context
flank_left_-2_S,0.0003616658821525702,220,Flanking sequence context
flank_left_-5_S,0.00035086800982322817,221,Flanking sequence context
flank_right_+5_C,0.00035073823060533893,222,Flanking sequence context
mut_onehot_Y,0.0003391537724342889,223,Mutation substitution deltas
flank_left_-2_C,0.0003341112478744116,224,Flanking sequence context
wt_onehot_S,0.0003246158861993904,225,Mutation substitution deltas
flank_left_-3_M,0.00029244788766969945,226,Flanking sequence context
wt_onehot_G,0.00026669525454890675,227,Mutation substitution deltas
wt_onehot_H,0.0002409551420825425,228,Mutation substitution deltas
wt_onehot_K,0.00022867485541364178,229,Mutation substitution deltas
flank_left_-2_W,0.00022793208241200262,230,Flanking sequence context
wt_onehot_T,0.0002269645594529944,231,Mutation substitution deltas
flank_left_-2_H,0.00022580787845533662,232,Flanking sequence context
flank_right_+5_W,0.0002116048360923276,233,Flanking sequence context
wt_onehot_E,0.00020296807038888755,234,Mutation substitution deltas
flank_left_-1_H,0.0001930236799734119,235,Flanking sequence context
flank_left_-1_P,0.00019277434903279816,236,Flanking sequence context
flank_left_-4_Q,0.00018989248396401325,237,Flanking sequence context
flank_right_+3_W,0.00018872269954583727,238,Flanking sequence context
flank_right_+4_Q,0.0001824638132064526,239,Flanking sequence context
flank_right_+2_C,0.00018163294541306797,240,Flanking sequence context
