model,split,MAE,RMSE,R2,Pearson,Pearson_p,Spearman,Spearman_p,n_samples
Ridge,Train,0.9829104972617462,1.3203625506357226,0.43810096322173875,0.6619060034281283,0.0,0.6239929785397563,8.109096773464302e-290,2686
Ridge,Validation,1.2855119094318248,1.643264122304912,-0.05176904039579089,0.385743600359814,1.034853464290761e-15,0.3355076573942338,4.943924279200695e-12,402
Ridge,Test,1.734572723953577,2.3911694439925997,-0.11837546257820475,0.16334893106444037,0.00217187913839589,0.12162599693893084,0.022862237092540517,350
RandomForest,Train,0.5597112915924454,0.7267695843089534,0.8297585228895865,0.9325717888952836,0.0,0.8908116679455115,0.0,2686
RandomForest,Validation,1.134913154299875,1.5215011956738074,0.09832457708413544,0.41616551733443036,2.864907872942803e-18,0.3436776739814962,1.3779050520279376e-12,402
RandomForest,Test,1.5187475984227314,2.186774108226583,0.0646486626290913,0.26349170935907823,5.718636114135345e-07,0.20191388019503484,0.00014284262786406023,350
GradientBoosting,Train,0.6281860617419225,0.828421383406267,0.7788054141266173,0.9047968764374887,0.0,0.862713474338527,0.0,2686
GradientBoosting,Validation,1.1556997169268632,1.5553113214674363,0.057806068015774814,0.4222784160597315,8.1440164217681215e-19,0.36398640564488755,4.875660181482596e-14,402
GradientBoosting,Test,1.5684042699790852,2.2448955343129975,0.014267223872899248,0.1881348795350815,0.0004020406932683163,0.12731404112317063,0.017171638028483767,350
