model,split,MAE,RMSE,R2,Pearson,Pearson_p,Spearman,Spearman_p,n_samples
ExperimentalWT3D_MeanBaseline,Train,1.338224321025386,1.7625910041145583,0.0,,,,,2681
ExperimentalWT3D_MeanBaseline,Validation,1.2488556648203766,1.6722824656540582,-0.0892433280387932,,,,,402
ExperimentalWT3D_MeanBaseline,Test,1.528514174227873,2.261147572819178,-5.696734827997929e-05,,,,,350
ExperimentalWT3D_Ridge,Train,1.0005788477336162,1.3496840215750467,0.4136443498010435,0.6431764308629251,6.307291963e-313,0.6302171132790608,9.030354404133302e-297,2681
ExperimentalWT3D_Ridge,Validation,1.2656586766161644,1.6613300587558222,-0.07502232184882596,0.4031996518869195,3.7968873531750824e-17,0.40091203022556143,5.921239887963845e-17,402
ExperimentalWT3D_Ridge,Test,1.6347659837912434,2.2843905411088263,-0.02072236747686107,0.23171767131426818,1.1907235276598447e-05,0.23219488150522527,1.1410746188369558e-05,350
ExperimentalWT3D_RandomForest,Train,0.4284783857505862,0.5720395491643675,0.894670744878789,0.9576094224831767,0.0,0.9311559172477727,0.0,2681
ExperimentalWT3D_RandomForest,Validation,1.1131274133748141,1.515005947906464,0.10600660119139238,0.4664387443630167,4.146523061099472e-23,0.44187245682218285,1.2107579867014392e-20,402
ExperimentalWT3D_RandomForest,Test,1.4532077119953033,2.123712213939546,0.11781787278647227,0.3533990646226256,9.84229705385075e-12,0.25420162656714324,1.4497755506337595e-06,350
ExperimentalWT3D_GradientBoosting,Train,0.5308622539311427,0.7043391812255189,0.8403162960315284,0.9285289156424873,0.0,0.8898878085153662,0.0,2681
ExperimentalWT3D_GradientBoosting,Validation,1.138349081852393,1.5518381896142486,0.06200935515167383,0.4751864169872541,4.9038849486053414e-24,0.4328567527266101,8.686330703164451e-20,402
ExperimentalWT3D_GradientBoosting,Test,1.4783338763227012,2.1517556240675217,0.0943657914044308,0.337131747171281,9.473144980875459e-11,0.24369698930524017,3.977225792502242e-06,350
