representation,model,validation_MAE,test_MAE,test_RMSE,test_R2,test_Pearson,test_Spearman
HandEngineered_252D,Ridge,1.2855119094318248,1.734572723953577,2.3911694439926,-0.1183754625782047,0.1633489310644403,0.1216259969389308
HandEngineered_252D,RandomForest,1.134913154299875,1.5187475984227314,2.186774108226583,0.0646486626290913,0.2634917093590782,0.2019138801950348
HandEngineered_252D,GradientBoosting,1.1556997169268632,1.5684042699790852,2.244895534312997,0.0142672238728992,0.1881348795350815,0.1273140411231706
ESM2_8M_1280D,Ridge,1.687932658275985,2.044465443764728,2.840378737764357,-0.5780451734432024,0.1249444466934008,0.2153197315334847
ESM2_8M_1280D,RandomForest,1.1841791592457496,1.432378436737119,2.135774325803694,0.1077683016836248,0.3567189827917328,0.3368600805997421
ESM2_8M_1280D,GradientBoosting,1.2236711814075492,1.4453728368665857,2.0860018374015485,0.1488692159691959,0.425877505185103,0.3857282097026107
ExperimentalWT3D_131D,Ridge,1.2656586766161644,1.6347659837912434,2.2843905411088263,-0.02072236747686107,0.23171767131426818,0.23219488150522527
ExperimentalWT3D_131D,RandomForest,1.1131274133748141,1.4532077119953033,2.123712213939546,0.11781787278647227,0.3533990646226256,0.25420162656714324
ExperimentalWT3D_131D,GradientBoosting,1.138349081852393,1.4783338763227012,2.1517556240675217,0.0943657914044308,0.337131747171281,0.24369698930524017
