model,split,MAE,RMSE,R2,Pearson,Pearson_p,Spearman,Spearman_p,n_samples
ESM2_8M_Ridge,Train,0.7661558039519368,1.01983845968216,0.6647763400266615,0.8154002163320744,0.0,0.7815165129571833,0.0,2686
ESM2_8M_Ridge,Validation,1.687932658275985,2.200399612015904,-0.8858569891568426,0.2457633340584587,6.07191910260556e-07,0.27807482088647545,1.4259877133838006e-08,402
ESM2_8M_Ridge,Test,2.044465443764728,2.8403787377643575,-0.5780451734432024,0.12494444669340082,0.019371453194788887,0.21531973153348474,4.8738832187985765e-05,350
ESM2_8M_RandomForest,Train,0.4302471663795438,0.5620717004617802,0.8981747860883323,0.9678987431197542,0.0,0.9403692986586627,0.0,2686
ESM2_8M_RandomForest,Validation,1.1841791592457496,1.5601394815946819,0.05194727440889191,0.3494505786559648,5.46085273075146e-13,0.30979287214635437,2.1693887983300475e-10,402
ESM2_8M_RandomForest,Test,1.432378436737119,2.135774325803694,0.10776830168362483,0.3567189827917328,6.10030921987125e-12,0.33686008059974215,9.827373597665588e-11,350
ESM2_8M_GradientBoosting,Train,0.40802404137193116,0.5301622318339568,0.9094080801649961,0.9642032782660247,0.0,0.9370638327960431,0.0,2686
ESM2_8M_GradientBoosting,Validation,1.2236711814075492,1.5935490907590508,0.010908362662085058,0.3421611366285895,1.7516477254292864e-12,0.31058106692083404,1.9421904446017628e-10,402
ESM2_8M_GradientBoosting,Test,1.4453728368665857,2.0860018374015485,0.1488692159691959,0.425877505185103,7.468304653439571e-17,0.38572820970261074,7.318922168207196e-14,350
