representation,feature_or_architecture,test_mae,test_rmse,test_r2,test_pearson,test_spearman,grouped_cv_mae_mean,grouped_cv_mae_std,grouped_cv_rmse_mean,grouped_cv_rmse_std,grouped_cv_r2_mean,grouped_cv_r2_std,grouped_cv_pearson_mean,grouped_cv_pearson_std,grouped_cv_spearman_mean,grouped_cv_spearman_std
Hand-Engineered Sequence,252D + Random Forest,1.5170132607987667,2.1823743846046426,0.06840867372605253,0.2714562031002317,0.19844584108928354,1.233615903415031,0.09410455850115822,1.6726626355403709,0.19317769333444126,0.03148456030566982,0.08680122918159239,0.3799963213437379,0.06581914872291066,0.36198993536115587,0.06726007185435609
ESM-2 8M,1280D + Random Forest,1.4335230573192237,2.1452290791689475,0.09985126416695278,0.3424801604663377,0.32406607975039053,1.2346844707943974,0.08584963645883059,1.6185302477233297,0.14912896872136305,0.0913123852730164,0.0629892617810452,0.40177888498557063,0.0730873067213131,0.36148808266419086,0.05961211783618846
Experimental WT 3D,131D + Random Forest,1.4532077119953033,2.123712213939546,0.11781787278647227,0.35339906462262566,0.25420162656714324,1.1473847305205807,0.10683121502763153,1.5464743324776538,0.18459239317355616,0.17202159300568004,0.09276281979970061,0.49527347403587374,0.10868803941767671,0.44720037135616614,0.12397056488317092
Experimental WT Contact Map,107D + Random Forest,1.4638493456758073,2.1701188284390716,0.07884236669104316,0.30953633185734647,0.20477888550446305,1.1233663918777395,0.1079914897052505,1.509045137735398,0.17998839865143512,0.20776491424551752,0.1292380048260539,0.5213576975285643,0.13893258561284105,0.4749055735222317,0.13659449074569366
Experimental WT Protein Graph,3-Layer EdgeConv GNN (58D node / 3D edge),1.4519824984057674,2.1420953463229035,0.10247920388857878,0.33096836135384033,0.281327502815263,1.1337980332730688,0.06037614447108996,1.5508344977762756,0.12413388419141179,0.1650144022522775,0.047532865929776624,0.44971803523719966,0.09546208229887317,0.41802931198534854,0.08483695452709343
